actual_entry_allocation_pnl_at_observed_state,authoritative_realized_pnl_sum,basket_buy_budget_usd,basket_key,bucket_count,city,closed_yes_asset_count,counterfactual_status,equal_dollar_basket_pnl_at_observed_state,equal_payout_basket_pnl_at_observed_state,main_bucket_label,single_main_bucket_pnl_at_observed_state,state_model_valid,unit,weather_date,weather_metric,winner_bucket_labels
nan,nan,13.069409993754999,London|2026-07-01|high|C,1,London,0,unresolved_or_partial,nan,nan,24°C,nan,False,C,2026-07-01,high,
-39.500547997905,-4.503839,39.500547997905,Munich|2026-07-01|high|C,2,Munich,2,winner_outside_visible_yes_basket,-39.500547997905,-39.500547997905,20°C,-39.500547997905,True,C,2026-07-01,high,
nan,nan,4.47183999825,New York City|2026-07-01|low|F,1,New York City,0,unresolved_or_partial,nan,nan,between 80-81°F,nan,False,F,2026-07-01,low,
nan,nan,17.322570000359,Sao Paulo|2026-07-01|high|C,3,Sao Paulo,0,unresolved_or_partial,nan,nan,29°C,nan,True,C,2026-07-01,high,
91.351969998353,-7.391303000000001,73.648030001647,Seoul|2026-07-01|high|C,4,Seoul,4,winner_in_basket,3.0686679167352793,85.14780697547867,30°C,233.21876167188213,True,C,2026-07-01,high,30°C
nan,97.586357,71.02188399459865,London|2026-07-02|high|C,3,London,1,unresolved_or_partial,nan,nan,24°C,nan,True,C,2026-07-02,high,25°C
nan,nan,8.0,Madrid|2026-07-02|high|C,1,Madrid,0,unresolved_or_partial,nan,nan,36°C,nan,False,C,2026-07-02,high,
nan,-1.69469,7.351200001772,Miami|2026-07-02|high|F,1,Miami,1,not_evaluable_overlap_or_single,nan,nan,between 88-89°F,nan,False,F,2026-07-02,high,
nan,nan,68.165881999814,Moscow|2026-07-02|high|C,3,Moscow,0,unresolved_or_partial,nan,nan,31°C,nan,True,C,2026-07-02,high,
nan,4.1,24.548106005217694,New York City|2026-07-02|high|F,3,New York City,1,unresolved_or_partial,nan,nan,between 104-105°F,nan,True,F,2026-07-02,high,between 102-103°F
nan,nan,3.837450002013,New York City|2026-07-02|low|F,1,New York City,0,unresolved_or_partial,nan,nan,between 86-87°F,nan,False,F,2026-07-02,low,
nan,nan,47.14089001561099,Qingdao|2026-07-02|high|C,6,Qingdao,0,unresolved_or_partial,nan,nan,29°C,nan,True,C,2026-07-02,high,
nan,nan,30.593581999304,Sao Paulo|2026-07-02|high|C,3,Sao Paulo,0,unresolved_or_partial,nan,nan,28°C,nan,True,C,2026-07-02,high,
nan,nan,3.68000001,Seoul|2026-07-02|high|C,1,Seoul,0,unresolved_or_partial,nan,nan,30°C,nan,False,C,2026-07-02,high,
nan,nan,35.228200013874,Tokyo|2026-07-02|high|C,2,Tokyo,0,unresolved_or_partial,nan,nan,22°C,nan,True,C,2026-07-02,high,
nan,nan,23.6420000023,Warsaw|2026-07-02|high|C,2,Warsaw,0,unresolved_or_partial,nan,nan,26°C,nan,True,C,2026-07-02,high,
